Xm,Ym,Zm,Xr,Yr,Zr
0.035,0.006,1.048,0.099,0.000,0.999
0.189,-0.063,0.895,0.197,0.000,0.997
0.250,0.067,0.950,0.294,0.000,0.994
0.461,0.049,1.078,0.390,0.000,0.990
0.580,-0.026,0.944,0.485,0.000,0.985
0.335,-0.089,1.001,0.580,0.000,0.979
0.720,-0.022,0.862,0.673,0.000,0.973
0.695,0.011,1.057,0.766,0.000,0.965
0.706,-0.033,0.909,0.857,0.000,0.956
1.025,-0.165,0.952,0.948,0.000,0.946
1.172,0.073,0.977,1.038,0.000,0.935
0.984,0.076,0.885,1.127,0.000,0.924
1.169,0.050,1.155,1.216,0.000,0.911
1.351,0.142,0.758,1.303,0.000,0.897
1.351,0.042,0.861,1.390,0.000,0.883
1.305,0.112,0.787,1.476,0.000,0.867
1.696,-0.011,0.667,1.562,0.000,0.851
1.725,0.129,0.792,1.646,0.000,0.833
1.698,-0.160,0.708,1.730,0.000,0.815
1.912,-0.109,0.868,1.813,0.000,0.795
1.966,-0.081,0.876,1.896,0.000,0.775
1.965,0.045,0.838,1.978,0.000,0.754
2.058,-0.082,0.729,2.059,0.000,0.732
1.902,0.095,0.567,2.139,0.000,0.708
2.169,-0.075,0.708,2.219,0.000,0.684
2.387,0.078,0.881,2.298,0.000,0.659
2.460,-0.006,0.665,2.377,0.000,0.634
2.369,-0.148,0.501,2.455,0.000,0.607
2.633,-0.064,0.591,2.532,0.000,0.579
2.572,-0.126,0.479,2.609,0.000,0.550
2.820,-0.130,0.508,2.685,0.000,0.521
2.815,0.080,0.496,2.761,0.000,0.490
2.806,-0.069,0.335,2.836,0.000,0.459
3.113,-0.115,0.315,2.910,0.000,0.427
2.953,0.026,0.440,2.984,0.000,0.394
3.066,-0.086,0.286,3.058,0.000,0.360
3.024,0.038,0.249,3.130,0.000,0.325
3.151,0.002,0.143,3.203,0.000,0.290
3.216,-0.004,0.132,3.275,0.000,0.253
3.160,-0.065,0.250,3.346,0.000,0.216
3.378,0.006,-0.004,3.417,0.000,0.177
3.515,0.083,0.191,3.487,0.000,0.138
3.464,0.009,-0.209,3.557,0.000,0.099
3.598,0.049,-0.036,3.626,0.000,0.058
3.722,-0.076,0.023,3.695,0.000,0.016
3.826,0.050,-0.046,3.763,0.000,-0.006
3.746,0.053,-0.141,3.831,0.000,0.031
4.025,-0.052,-0.014,3.898,0.000,0.068
3.776,-0.021,-0.039,3.965,0.000,0.103
4.047,0.075,0.151,4.032,0.000,0.138
4.096,-0.071,0.046,4.098,0.000,0.172
4.088,0.078,0.348,4.163,0.000,0.205
4.221,0.122,0.284,4.228,0.000,0.237
4.394,0.058,0.315,4.293,0.000,0.268
4.390,-0.049,0.368,4.357,0.000,0.298
4.377,-0.101,0.347,4.421,0.000,0.328
4.368,-0.036,0.498,4.485,0.000,0.356
4.469,-0.143,0.456,4.548,0.000,0.384
4.731,0.072,0.371,4.611,0.000,0.411
4.643,0.049,0.631,4.673,0.000,0.437
4.656,-0.122,0.425,4.735,0.000,0.462
4.821,0.008,0.529,4.797,0.000,0.486
4.928,-0.004,0.495,4.858,0.000,0.509
5.082,-0.056,0.600,4.918,0.000,0.531
5.015,-0.188,0.494,4.979,0.000,0.552
4.918,0.091,0.460,5.039,0.000,0.572
5.022,-0.031,0.594,5.099,0.000,0.592
5.151,-0.092,0.595,5.158,0.000,0.610
5.044,-0.039,0.551,5.217,0.000,0.628
5.311,0.016,0.530,5.276,0.000,0.644
5.302,-0.146,0.586,5.334,0.000,0.660
5.402,-0.186,0.609,5.392,0.000,0.674
5.638,0.155,0.762,5.449,0.000,0.688
5.556,-0.098,0.694,5.507,0.000,0.701
5.460,-0.132,0.746,5.564,0.000,0.712
5.672,-0.090,0.521,5.620,0.000,0.723
5.557,0.117,0.901,5.677,0.000,0.733
5.750,0.150,0.797,5.733,0.000,0.742
5.931,-0.088,0.710,5.788,0.000,0.750
5.825,-0.134,0.827,5.844,0.000,0.756
5.925,-0.079,0.747,5.899,0.000,0.762
5.956,-0.006,0.840,5.954,0.000,0.767
5.752,-0.089,0.696,6.008,0.000,0.771
6.081,-0.118,0.832,6.062,0.000,0.774
6.001,-0.064,0.728,6.116,0.000,0.776
6.330,0.162,0.776,6.170,0.000,0.777
6.068,-0.021,0.946,6.223,0.000,0.777
6.357,0.017,0.802,6.276,0.000,0.776
6.412,-0.129,0.766,6.329,0.000,0.774
6.104,0.025,0.926,6.381,0.000,0.771
6.388,0.173,0.840,6.433,0.000,0.767
6.678,0.046,0.706,6.485,0.000,0.762
6.586,-0.017,0.656,6.537,0.000,0.757
6.575,-0.010,0.789,6.588,0.000,0.750
6.637,-0.072,0.743,6.639,0.000,0.742
6.681,0.194,0.717,6.690,0.000,0.733
6.827,-0.270,0.778,6.741,0.000,0.723
6.832,0.199,0.655,6.791,0.000,0.713
6.894,-0.121,0.717,6.841,0.000,0.701
7.093,-0.048,0.690,6.891,0.000,0.688
